sessao,perfil,rodada,palpite,resultado,acertos_anunciados,premio_disputado_centavos
QA-SIM-001,Regular,0,"3 17 9","3 17 9",3,500
QA-SIM-001,Regular,1,"6 16 4","5 16 4",2,500000
QA-SIM-001,Regular,2,"6 0 15","5 16 4",2,500000
QA-SIM-001,Regular,3,"12 11 9","5 16 4",2,500000
QA-SIM-001,Regular,4,"17 9 2","5 16 4",2,500000
QA-SIM-001,Regular,5,"11 2 17","5 16 4",2,500000
QA-SIM-001,Regular,6,"4 17 5","5 16 4",2,500000
QA-SIM-001,Regular,7,"11 6 14","5 16 4",2,500000
QA-SIM-001,Regular,8,"8 13 14","5 16 4",2,500000
QA-SIM-001,Regular,9,"6 15 16","5 16 4",2,500000
QA-SIM-001,Regular,10,"7 7 2","5 16 4",2,500000
QA-SIM-001,Regular,11,"8 9 4","5 16 4",2,500000
QA-SIM-001,Regular,12,"18 10 2","5 16 4",2,500000
QA-SIM-001,Regular,13,"11 15 11","5 16 4",2,500000
QA-SIM-001,Regular,14,"8 1 1","5 16 4",2,500000
QA-SIM-001,Regular,15,"12 6 2","5 16 4",2,500000
QA-SIM-001,Regular,16,"12 15 14","5 16 4",2,500000
QA-SIM-001,Regular,17,"15 19 15","5 16 4",2,500000
QA-SIM-001,Regular,18,"18 3 11","5 16 4",2,500000
QA-SIM-001,Regular,19,"10 7 5","5 16 4",2,500000
QA-SIM-001,Regular,20,"8 7 14","5 16 4",2,500000
QA-SIM-001,Regular,21,"1 14 18","5 16 4",2,500000
QA-SIM-001,Regular,22,"8 10 8","5 16 4",2,500000
QA-SIM-001,Regular,23,"16 19 11","5 16 4",2,500000
QA-SIM-001,Regular,24,"15 19 8","5 16 4",2,500000
QA-SIM-001,Regular,25,"2 17 12","5 16 4",2,500000
QA-SIM-001,Regular,26,"19 3 1","5 16 4",2,500000
QA-SIM-001,Regular,27,"8 12 19","5 16 4",2,500000
QA-SIM-001,Regular,28,"5 16 16","5 16 4",2,500000
QA-SIM-001,Regular,29,"9 1 4","5 16 4",2,500000
QA-SIM-001,Regular,30,"9 4 6","5 16 4",2,500000
QA-SIM-001,Regular,31,"10 12 3","5 16 4",2,500000
QA-SIM-001,Regular,32,"16 4 3","5 16 4",2,500000
QA-SIM-001,Regular,33,"13 15 5","5 16 4",2,500000
QA-SIM-001,Regular,34,"18 1 7","5 16 4",2,500000
QA-SIM-001,Regular,35,"10 16 2","5 16 4",2,500000
QA-SIM-002,Whale,0,"5 3 14","5 3 14",3,60
QA-SIM-002,Whale,1,"7 3 17","7 1 17",2,5000000
QA-SIM-002,Whale,2,"3 17 15","7 1 17",2,5000000
QA-SIM-002,Whale,3,"8 10 15","7 1 17",2,5000000
QA-SIM-002,Whale,4,"8 15 17","7 1 17",2,5000000
QA-SIM-002,Whale,5,"15 7 10","7 1 17",2,5000000
QA-SIM-002,Whale,6,"12 5 0","7 1 17",2,5000000
QA-SIM-002,Whale,7,"3 5 14","7 1 17",2,5000000
QA-SIM-002,Whale,8,"13 7 17","7 1 17",2,5000000
QA-SIM-002,Whale,9,"7 7 1","7 1 17",2,5000000
QA-SIM-002,Whale,10,"11 10 16","7 1 17",2,5000000
QA-SIM-002,Whale,11,"17 9 19","7 1 17",2,5000000
QA-SIM-002,Whale,12,"7 5 0","7 1 17",2,5000000
QA-SIM-002,Whale,13,"10 17 5","7 1 17",2,5000000
QA-SIM-002,Whale,14,"4 13 7","7 1 17",2,5000000
